Fecha:,08/07/2022 19:05,,,,,
Operador,Nombre plan,Descripción,Fecha validez,Cifra descuento,Tipo descuento,Destinatario
"BON PREU, SAU.",alegría targeta cliente -orangután,DESCUENTO DE 3 CTS POR LITRO PARA LOS CLIENTES CON TARjETA CLIENTe orangután-alegria,,3.000,Céntimos de euro en cada litro,Todos los consumidores
"ADELFAS OIL, S.A",TARJETA CONFIANZA CONTADO,"CLIENTES CONTADO 0,01€/LITRO + 5%PRODUCTOS TIENDA + PUNTOS CANJEABLES EN PRODUCTOS TIENDA",,0.010,Céntimos de euro en cada litro,Todos los consumidores
"ADELFAS OIL, S.A",ADELPYME CONTADO,"EMPRESAS, AUTÓNOMOS Y PARTICULARES CONTADO (5% PRODUCTOS TIENDA + 10% LAVADOS + DTO. PERSONAL CADA CLIENTE)",,5.000,Porcentaje sobre el precio total,Todos los consumidores
"ADELFAS OIL, S.A",TARJETA PROFESIONAL,EMPRESAS O AUTÓNOMOS DE GASOLEO PROFESIONAL CON DTO. PERSONAL DE CADA TRANSPORTISTA,,,,Transportistas profesionales
"ADELFAS OIL, S.A",ADELFAS G.BONIFICADO,EMPRESAS O AUTÓNOMOS DE GASOLEO BONIFICADO CON DTO. PERSONAL DEL CLIENTE,,,,Agricultores
"DISA RETAIL ATLANTICO, S.L.U",DESCUENTO A CLIENTES ING,PROMOCION 3% DESCUENTO A CLIENTES ING. EN TODA LA RED,,3.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA RETAIL ATLANTICO, S.L.U",DESCUENTO A CLIENTES MAPFRE,PROMOCION 3% DESCUENTO A CLIENTES MAPFRE. EN TODA LA RED,,3.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA RED DE SERVICIOS PETROLIFEROS, S.A.",DESCUENTO A CLIENTES ING,PROMOCION 3% DESCUENTO A CLIENTES ING. EN TODA LA RED.,,3.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA RED DE SERVICIOS PETROLIFEROS, S.A.",DESCUENTO A CLIENTES MAPFRE,PROMOCION 3% DESCUENTO A CLIENTES MAPFRE. EN TODA LA RED.,,3.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA PENINSULA, S.L.U",Descuento a clientes mapfre,Promocion 3% Descuento a Clientes MAPFRE en Estaciones de Servicio Shell,,3.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA PENINSULA, S.L.U",Descuento a clientes DIA,Promocion 3% Descuento a Clientes DIA en Estaciones de Servicio Shell,,3.000,Porcentaje sobre el precio total,Todos los consumidores
AGLA CARD S.L.,TARJETA AGLA CARD DE CREDITO,"DESCUENTO DE 0,02 CENTIMOS POR LITRO EN TODAS LAS ESTACIONES ADHERIDAS A ESTA TARJETA",,0.020,Céntimos de euro en cada litro,Todos los consumidores
"DISA RED DE SERVICIOS PETROLIFEROS, S.A.",DESCUENTO A CLIENTES CAJASIETE,PROMOCION 3% DESCUENTO A CLIENTES CAJASIETE. EN TODA LA RED,,3.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA RED DE SERVICIOS PETROLIFEROS, S.A.",DESCUENTO A CLIENTES TARJETA SOLIDARIA HELPERS,PROMOCION 2% DESCUENTO A CLIENTES TARJETA SOLIDARIA HELPERS. EN TODA LA RED.,,2.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA RETAIL ATLANTICO, S.L.U",DESCUENTO A CLIENTES CAJASIETE.,PROMOCION 3% DESCUENTO A CLIENTES CAJASIETE. EN TODA LA RED.,,3.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA RETAIL ATLANTICO, S.L.U",DESCUENTO A CLIENTES TARJETA SOLIDARIA HELPERS,PROMOCION 2% DESCUENTO A CLIENTES TARJETA SOLIDARIA HELPERS. EN TODA LA RED.,,2.000,Porcentaje sobre el precio total,Todos los consumidores
GALP ENERGÍA ESPAÑA S.A.,EVO BANCO,"Ahorra un 2% con cada compra de carburante y tienda, sin límite de compra con las tarjetas de crédito y débito de EVO BANCO",,2.000,Porcentaje sobre el precio total,Todos los consumidores
"KUWAIT PETROLEUM ESPAÑA, S.A.",TARJETISIMA,PROGRAMA DE FIDELIZACION,,1.000,Céntimos de euro en cada litro,Todos los consumidores
EMPRESAS DEL GRUPO REPSOL,REPSOL MAS,Tarjeta de pago para particulares,,1.000,Céntimos de euro en cada litro,Todos los consumidores
GALP ENERGÍA ESPAÑA S.A.,CETELEM,Ahorra un 2% con cada compra de carburante utilizando las tarjetas CETELEM.,,2.000,Porcentaje sobre el precio total,Todos los consumidores
GALP ENERGÍA ESPAÑA S.A.,TWYP,Ahorra un 4% con cada compra de carburante utilizando la Aplicación TWYP de ING.,,4.000,Porcentaje sobre el precio total,Todos los consumidores
GALP ENERGÍA ESPAÑA S.A.,LIDL,Ahorra un 4% en cada compra de carburante por hacer tus compras en LIDL,,4.000,Porcentaje sobre el precio total,Todos los consumidores
GALP ENERGÍA ESPAÑA S.A.,AHORRING,Dedicado a todo tipo de clientes que consuman carburante,,3.000,Céntimos de euro en cada litro,Todos los consumidores
BP OIL ESPAÑA S.A.,Acuerdo Naturgy,Cada vez que un cliente Mi BP y Naturgy adherido al acuerdo reposte más de 40 litros recibe 2 € de descuento en su factura de luz o gas con Naturgy. Descuento máximo 6 € mensuales.,,5.000,Céntimos de euro en cada litro,Todos los consumidores
"ADELFAS OIL, S.A",CONFIANZA ELECTRICIDAD,CLIENTES CON DESCUENTO FIJO + 5% TIENDA + PUNTOS CANJEABLES PRODUCTOS TIENDA,,0.020,Céntimos de euro en cada litro,Todos los consumidores
"DISA RED DE SERVICIOS PETROLIFEROS, S.A.",TOPii - APP ING,AHORRA UN 4% EN CADA REPOSTAJE UTILIZANDO LA APP TOPii de ING. EN TODA LA RED.,,4.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA RED DE SERVICIOS PETROLIFEROS, S.A.",LIDL PLUS,PROMOCION 4% DESCUENTO A CLIENTES LIDL PLUS. EN TODA LA RED.,,4.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA RED DE SERVICIOS PETROLIFEROS, S.A.",MI ENERGIA DISA,PROMOCION DE LANZAMIENTO DE LA NUEVA APP. Te permite ahorrar hasta 30cts/l. (incluye la bonificación pública de 20cts/l). EN TODA LA RED.,,10.000,Céntimos de euro en cada litro,Todos los consumidores
"DISA RETAIL ATLANTICO, S.L.U",MI ENERGIA DISA,PROMOCION DE LANZAMIENTO DE LA NUEVA APP. Te permite ahorrar hasta 30cts/l. (incluye la bonificación pública de 20cts/l). EN TODA LA RED.,,10.000,Céntimos de euro en cada litro,Todos los consumidores
"DISA RETAIL ATLANTICO, S.L.U",LIDL PLUS,PROMOCION 4% DESCUENTO A CLIENTES LIDL PLUS. EN TODA LA RED.,,4.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA RETAIL ATLANTICO, S.L.U",TOPii - APP ING,AHORRA UN 4% EN CADA REPOSTAJE UTILIZANDO LA APP TOPii de ING. EN TODA LA RED.,,4.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA PENINSULA, S.L.U",MI ENERGIA DISA,PROMOCION DE LANZAMIENTO DE LA NUEVA APP. Te permite ahorrar hasta 30cts/l. (incluye la bonificación pública de 20cts/l) en Estaciones de Servicio SHELL,,10.000,Céntimos de euro en cada litro,Todos los consumidores
"DISA PENINSULA, S.L.U",TOPii - APP ING,AHORRA UN 4% EN CADA REPOSTAJE UTILIZANDO LA APP TOPii de ING en las estaciones de servicio SHELL.,,4.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA PENINSULA, S.L.U",ALDEAS INFANTILES,Promoción 3% Descuento a Clientes de Aldeas Infantiles en Estaciones de Servicio SHELL,,3.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA PENINSULA, S.L.U",LIDL PLUS,Promoción 4% Descuento a Clientes LIDL PLUS en Estaciones de Servicio SHELL,,4.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA PENINSULA, S.L.U",DESCUENTO A CLIENTES CAIXABANK,Promoción 3% Descuento a Clientes CAIXABANK en Estaciones de Servicio SHELL,,3.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA PENINSULA, S.L.U",DESCUENTO A CLIENTES IKEA,Promoción 3% Descuento a Clientes IKEA en Estaciones de Servicio SHELL,,3.000,Porcentaje sobre el precio total,Todos los consumidores
